NomScientifique,a_obs,b_obs,origine_obs,Taille_min_ratio,Taille_max_ratio,ratio_robuste,a_FB,b_FB,origine_FB,a_SIH,b_SIH,origine_SIH
Myliobatis aquila,NA,NA,NA,NA,NA,NA,0.0111,3.09,med,8e-7,3.34,med
Oblada melanurus,0.02258707934071224,2.870366026711212,med,246.000004,270,FALSE,0.0088,3.123,med,NA,NA,NA
Pagellus acarne,0.00517880547534511,3.319099456707668,med,60.999999,334.000015,TRUE,0.0113,3.0283,med,8.56e-6,3.13088,hors med
Pagellus bogaraveo,0.01193050581977379,3.041772519464829,med,88.000002,370,TRUE,0.0091,3.14,hors med,4.31e-6,3.3408,hors med
Pagellus erythrinus,0.02063789661484965,2.8361518938866603,med,25,400,TRUE,0.0172,2.8545,med,NA,NA,NA
Pagrus pagrus,0.02428361421401057,2.8864718917059493,med,116.000004,415.999985,FALSE,0.0117,3.343,med,NA,NA,NA
Phycis blennoides,0.0037200969683875,3.2220214198348676,med,50.999999,575.9999849999999,TRUE,0.0026,3.27,hors med,4.6e-6,3.136,hors med
Phycis phycis,0.02379868328278256,2.7699872982668547,med,250,332.999992,FALSE,6.4e-4,3.502,med,NA,NA,NA
Pomatomus saltatrix,NA,NA,NA,NA,NA,NA,0.0076,3.055,med,1.2073e-5,2.9291,hors med
Prionace glauca,NA,NA,NA,NA,NA,NA,0.0039,3.11,med,1.31e-5,3.2,med
Pterois miles,NA,NA,NA,NA,NA,NA,0.00639,3.2269,hors med,NA,NA,NA
Pteroplatytrygon violacea,380.4872803805148,0.4630782591068882,med,360,400,FALSE,NA,NA,NA,NA,NA,NA
Raja clavata,0.00208822052198559,3.259617388408552,med,88.999996,1050,TRUE,NA,NA,NA,NA,NA,NA
Salmo trutta,NA,NA,NA,NA,NA,NA,0.008,3.106,hors med,NA,NA,NA
Sarda sarda,230.00000000000009,NA,med,267.00000800000004,267.00000800000004,FALSE,0.0082,3.13,med,NA,NA,NA
Sardina pilchardus,0.00329773389175476,3.3098566905083033,med,65,205,TRUE,0.0059,3.112,med,7.85e-6,2.949975,med
Sardinella aurita,0.003786761843584,3.213740972322873,med,105,240,TRUE,NA,NA,NA,NA,NA,NA
Sarpa salpa,NA,NA,NA,NA,NA,NA,0.0219,3.126,med,NA,NA,NA
Sciaena umbra,NA,NA,NA,NA,NA,NA,0.0354,3.05,med,NA,NA,NA
Scomber colias,0.00296588671527268,3.325834765091628,med,80,365,TRUE,0.006,3.1017,hors med,3.35e-6,3.2427,med
Scomber scombrus,0.00507500158801973,3.160601254718915,med,63.000002,367.000008,TRUE,0.0167,2.82,med,6.7e-6,3.125,med
Scophthalmus maximus,NA,NA,NA,NA,NA,NA,0.011,3.104,med,2e-5,3.0667,hors med
Scorpaena elongata,0.01568924443750952,3.004375282536504,med,208.999996,425,FALSE,0.023,2.88,hors med,NA,NA,NA
Scorpaena notata,0.00163317321263132,3.997424027514061,med,94,133.99999599999998,FALSE,0.0106,3.25,hors med,NA,NA,NA
Scorpaena porcus,193.99999999999997,NA,med,212.000008,212.000008,FALSE,0.0171,3.034,med,NA,NA,NA
Scorpaena scrofa,0.03546171216503976,2.7916656041377763,med,169,404,FALSE,0.0155,3.298,med,NA,NA,NA
Scyliorhinus canicula,0.00180785870060977,3.154988598433823,med,76.99999799999999,845,TRUE,9e-4,3.347,med,1.6e-6,3.16,med
Scyliorhinus stellaris,NA,NA,NA,NA,NA,NA,0.0041,3,med,1.5e-6,3.1874,hors med
Seriola dumerili,NA,NA,NA,NA,NA,NA,0.0225,2.847,med,NA,NA,NA
